Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Deletion_Reason
a pari	adjectief	2.0	897087	897108	naar analogie	volgens overeenkomstigheid	Full definition shorter than short
à quatre	bijwoord	1.0	632525	632573	(Frans) met z'n vieren	met vier personen of zaken	Full definition shorter than short
à quatre mains	adjectief	1.0	632577	632579	vierhandig	met of voor vier handen	Full definition shorter than short
à raison de	voorzetsel	2.0	632661	632711	ter waarde van	ten bedrage van	Full definition shorter than short
Aalsmeerder	adjectief	2.0	568	570	van Aalsmeer	van, uit, in Aalsmeer	Full definition shorter than short
aan boord	verbinding	1.0	905259	905260	in de boot	op het schip	Full definition shorter than short
aan boord	verbinding	2.0	905259	905261	in het ruimtevaartuig of ruimtestation	in een vliegtuig, ruimtevaartuig of trein	Full definition shorter than short
aan de alarmbel hangen	verbinding	1.0	907833	907840	alarm slaan	waarschuwen dat iets misgaat	Full definition shorter than short
aan de alarmbel trekken	verbinding	1.0	907834	907841	alarm slaan	waarschuwen dat iets misgaat	Full definition shorter than short
aan de alcohol zijn	verbinding	1.0	907870	907880	veel alcohol drinken	verslaafd zijn aan drank	Full definition shorter than short
aan de alcohol zitten	verbinding	1.0	907871	907879	veel alcohol drinken	verslaafd zijn aan drank	Full definition shorter than short
aan de bel trekken	verbinding	1.0	907855	910689	alarm slaan	waarschuwen dat iets misgaat	Full definition shorter than short
aan de gang gaan	verbinding	1.0	927485	927486	starten	beginnen	Full definition shorter than short
aan de gang krijgen	verbinding	1.0	927495	927497	in werking stellen	in beweging krijgen	Full definition shorter than short
aan den lijve	bijwoord	1.0	915171	915174	in persoon	persoonlijk	Full definition shorter than short
aan één zeel trekken	verbinding	1.0	900043	900047	één lijn trekken	dezelfde belangen nastreven	Full definition shorter than short
aan hetzelfde zeel trekken	verbinding	1.0	900042	900044	één lijn trekken	dezelfde belangen nastreven	Full definition shorter than short
aanbevelenswaardig	adjectief	1.0	627	628	aanbeveling verdienend	waard om aanbevolen te worden	Full definition shorter than short
aanbijten	werkwoord	2.0	695	946915	een eerste beet doen	(van honden) beginnen te bijten	Full definition shorter than short
aanblikken	werkwoord	1.0	432754	947112	de blik vestigen op	min of meer indringend aankijken	Full definition shorter than short
aangaande	voorzetsel	1.0	884	885	ten opzichte van	met betrekking tot	Full definition shorter than short
aanstaand	adjectief	2.0	1510	562126	in de komende tijd gebeurend	toekomstig (van gebeurtenissen)	Full definition shorter than short
aanstonds	bijwoord	1.0	1547	1548	binnen de kortste keren	binnen enkele ogenblikken	Full definition shorter than short
aantrekkelijk	adjectief	1.0	1603	889246	verleidelijk in financieel of economisch opzicht waartoe men zich aangetrokken voelt in lichamelijk opzicht	aanlokkelijk verleidelijk in financieel opzicht verleidelijk in lichamelijk opzicht waar men graag naartoe trekt boeiend	Full definition shorter than short
aanvaardbaar	adjectief	1.0	1617	1618	acceptabel	aanvaard kunnende worden	Full definition shorter than short
aanvangsuur	substantief	1.0	1673	1674	uur van aanvang van een activiteit	tijdstip waarop een activiteit begint	Full definition shorter than short
aanvankelijk	adjectief	2.0	1676	563158	in het begin	in eerste instantie	Full definition shorter than short
aanvoeren	werkwoord	4.0	1703	550454	dirigeren of als participerend musicus aansturen	leiden en vertegenwoordigen captain zijn van muzikaal leiden	Full definition shorter than short
aanzienlijk	adjectief	2.0	1816	568320	aanmerkelijk	in grote of hoge mate	Full definition shorter than short
aardappelmeel	substantief	1.0	1869	1870	aardappelzetmeel	zetmeel van aardappelen	Full definition shorter than short
aardedonker	adjectief	1.0	1926	1927	pikdonker	zeer donker	Full definition shorter than short
aardedonker	substantief	2.0	1926	612738	pikdonker	totale duisternis	Full definition shorter than short
aardig	adjectief	1.0	1971	1972	een aangename, vriendelijke aard hebbend	een aangename aard hebbend blijk gevend van een aangename aard	Full definition shorter than short
aas	substantief	A.2.0	2075	2076	lokaas stukje lokspijs soort lokspijs	lokspijs stukje lokspijs soort lokspijs	Full definition shorter than short
abandonneren	werkwoord	2.0	384531	943204	afstand doen van	afstand doen van (iets)	Full definition shorter than short
Abcoudens	adjectief	1.0	563046	563047	van de Abcoudenaren	van, in, uit Abcoude e.d.	Full definition shorter than short
Abcouds	adjectief	1.0	561971	561973	van de Abcoudenaren	van, in, uit Abcoude e.d.	Full definition shorter than short
abdiceren	werkwoord	1.0	450069	943090	troonsafstand doen	afstand doen van de troon	Full definition shorter than short
abdiqueren	werkwoord	1.0	430764	943113	troonsafstand doen	afstand doen van de troon	Full definition shorter than short
abject	adjectief	1.0	2166	2167	verachtelijk	hoogst verwerpelijk	Full definition shorter than short
abrikoos	substantief	A.1.2	2338	485318	oranjegele kleur	kleur van abrikozen	Full definition shorter than short
abrikoos	substantief	A.1.3	2338	485319	abrikozensmaak	smaak van abrikozen	Full definition shorter than short
abrikoos	substantief	A.1.4	2338	485320	abrikozengeur	geur van abrikozen	Full definition shorter than short
absoluut plafond	verbinding	1.0	904216	904217	absoluut maximum	het hoogst haalbare	Full definition shorter than short
academisch	adjectief	1.0	2485	2486	theoretisch-wetenschappelijk	van, aan of met betrekking tot een universiteit	Full definition shorter than short
acceptabel	adjectief	1.0	2508	2509	aanvaardbaar	geaccepteerd kunnende worden	Full definition shorter than short
acceptatiegraad	substantief	1.0	2520	583168	aanvaardingsgraad	mate waarin men bereid is iets te accepteren	Full definition shorter than short
achillespees	substantief	1.1	2632	875634	achillespeesblessure	blessure aan de achillespees	Full definition shorter than short
achtenswaard	adjectief	1.0	195329	195454	achting verdienend	waard om geacht te worden	Full definition shorter than short
achtenswaardig	adjectief	1.0	2664	2665	achting verdienend	waard om geacht te worden	Full definition shorter than short
achter de vuilkar lopen	verbinding	1.0	929958	929959	vuilnisman zijn	vuilnisophaler zijn	Full definition shorter than short
achterlijk zijn	verbinding	1.0	904448	904449	niet bij het volle verstand zijn	niet bij zijn volle verstand zijn	Full definition shorter than short
achteroplopen	werkwoord	2.0	385624	607239	achterblijven	niet met de tijd meegaan	Full definition shorter than short
achturig	adjectief	1.0	393792	933029	acht uren tellend	uit acht uren bestaand	Full definition shorter than short
achturige werkdag	verbinding	1.0	933034	933036	werkdag die acht uren telt	werkdag die bestaat uit acht uren	Full definition shorter than short
acte de présence	substantief	1.0	639866	639886	tegenwoordigheid	het doen blijken van tegenwoordigheid	Full definition shorter than short
actief	adjectief	A.3.0	3197	571764	in dienst	tewerkgesteld	Full definition shorter than short
actief	adjectief	A.6.0	3197	570986	werkzaam	een bepaalde werking hebbend	Full definition shorter than short
actief	adjectief	A.8.0	3197	571774	in werking	ingeschakeld	Full definition shorter than short
acuut	adjectief	2.0	3320	572722	voor patiënten met een spoedeisende aandoening	onmiddellijk medisch ingrijpen vereisend voor spoedeisende aandoeningen	Full definition shorter than short
ademhalingsstoornis	substantief	1.0	3419	3420	ademhalingsmoeilijkheden	stoornis van de ademhaling	Full definition shorter than short
ademloos	adjectief	3.0	3423	573674	waarbij men de adem inhoudt	waarbij men vergeet adem te halen	Full definition shorter than short
adieu	substantief	B.1.0	3467	650733	laatste groet	afscheidsgroet	Full definition shorter than short
administratief	adjectief	1.0	3484	3485	kantoorwerk betreffend	van, bij of met betrekking tot de administratie	Full definition shorter than short
adviesbevoegdheid	substantief	1.0	3632	233673	bevoegdheid om adviezen te geven	bevoegdheid om advies uit te brengen	Full definition shorter than short
