Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	Final_Chosen_Short_Def
à	voorzetsel	2.0	363369	632178	verbonden met twee zelfstandige naamwoorden als mogelijkheden, waarvan er slechts een van toepassing zal zijn, zoals in  woensdag à donderdag : of	met twee zelfstandige naamwoorden: of; ofwel	met twee zelfstandige naamwoorden: of
à bout portant	adjectief	2.0	631804	631805	op directe of ongegeneerde wijze;  op de man af;  direct op de persoon gericht;  recht voor z'n raap;  direct;  rechtstreeks;  onvervroren;  brutaalweg;  ongegeneerd met nadruk op het temporele aspect ook: plotseling;  direct;  per direct;  onmiddellijk	op de man af plotseling; onverwachts	op de man af plotseling
à bout portant	adjectief	2.1	631804	631847	 direct;  per direct;  onmiddellijk	plotseling; onverwachts	
à gogo	bijwoord	2.0	460934	632244	zonder dat het onderbroken wordt;  onophoudelijk	onafgebroken; continu	onafgebroken
à la	voegwoord	1.0	630248	630848	(Frans) op de wijze van;  op de manier van;  in de trant van;  zoals (van) met een eigennaam, hetzij van een persoon, hetzij van een zaak, die als een lichtend of afschrikkend voorbeeld, als het prototype van iets wordt gezien met een soortnaam	op de wijze van; zoals (van) met een eigennaam met een soortnaam	zoals (van) met een eigennaam met een soortnaam
à la carte	adjectief	2.0	395340	630674	 waarbij men zelf bepaalt aan welke onderdelen deelgenomen wordt;  waarbij men kan kiezen waaraan men meedoet;  waarbij een keuze gemaakt kan worden uit de verschillende mogelijkheden;  waarbij men zelf bepaalt hoe iets tot stand komt;  zoveel men wil	vrij naar keuze; naar believen	vrij naar keuze
à la mode	adjectief	A.1.0	631291	631293	 volgens de gangbare mode	in de mode; modieus	in de mode
à la seconde	adjectief	1.0	630999	631010	(Frans) binnen een seconde;  razendsnel;  meteen;  direct;  onmiddellijk;  ogenblikkelijk;  terstond in de context gesteld tegenover  à la minute : nog sneller dan  à la minute;  sneller dan snel;  supersnel	met onmiddellijke ingang; razendsnel supersnel	met onmiddellijke ingang
à volonté	bijwoord	1.0	632796	632797	(Frans) vrij naar keuze;  zoveel men wil;  volop	vrij naar keuze; naar believen	vrij naar keuze
aal	substantief	C.1.0	550	485623	vloeibare mest;  gier;  beer	mestvocht; aalt	mestvocht
aalglad	adjectief	2.0	558	559	 lenig en snel;  niet te verslaan;  ongrijpbaar	supersnel; behendig	supersnel
